O_CUSTKEY,RECENCY,FREQUENCY,MONETARY,R,F,M,RFM,RFM_SEGMENT
15767,55,12,1707730.27000,3,2,2,7,Potential
43868,178,12,1707737.26000,5,2,2,9,Potential
128042,133,12,1707897.65000,5,2,2,9,Potential
98750,130,10,1707905.02000,5,1,2,8,Potential
60790,103,14,1708111.11000,4,2,2,8,Potential
136865,147,11,1708267.69000,5,2,2,9,Potential
117233,136,9,1708323.04000,5,1,2,8,Potential
132752,148,14,1708338.04000,5,3,2,10,Potential
134924,151,13,1708348.34000,5,2,2,9,Potential
35972,39,12,1708370.89000,2,2,2,6,Need Attention
108233,150,12,1708379.36000,5,2,2,9,Potential
53848,113,12,1708510.45000,4,2,2,8,Potential
55136,126,10,1708522.31000,5,1,2,8,Potential
117134,78,11,1708532.63000,3,2,2,7,Potential
45097,64,11,1708587.83000,3,2,2,7,Potential
92690,9,11,1708599.98000,1,2,2,5,Need Attention
127550,8,15,1708624.82000,1,3,2,6,Need Attention
49064,48,12,1708633.22000,2,2,2,6,Need Attention
138467,62,12,1708646.81000,3,2,2,7,Potential
5903,55,10,1708675.53000,3,1,2,6,Need Attention
29234,148,15,1708679.35000,5,3,2,10,Potential
82642,15,12,1708755.14000,1,2,2,5,Need Attention
126971,44,13,1708812.87000,2,2,2,6,Need Attention
6062,136,11,1708828.52000,5,2,2,9,Potential
6701,44,12,1708845.63000,2,2,2,6,Need Attention
85724,18,8,1708884.01000,1,1,2,4,Need Attention
80078,52,7,1708991.55000,3,1,2,6,Need Attention
8201,76,9,1709040.38000,3,1,2,6,Need Attention
78173,81,11,1709055.78000,3,2,2,7,Potential
114446,61,11,1709066.04000,3,2,2,7,Potential
129386,123,8,1709188.36000,4,1,2,7,Potential
101855,42,12,1709238.62000,2,2,2,6,Need Attention
19558,47,15,1709263.80000,2,3,2,7,Potential
102332,26,10,1709282.58000,2,1,2,5,Need Attention
11306,140,11,1709337.92000,5,2,2,9,Potential
82957,124,13,1709382.61000,4,2,2,8,Potential
30389,60,10,1709389.45000,3,1,2,6,Need Attention
43109,134,11,1709436.07000,5,2,2,9,Potential
62588,104,11,1709451.99000,4,2,2,8,Potential
132053,133,12,1709477.99000,5,2,2,9,Potential
67867,16,13,1709479.10000,1,2,2,5,Need Attention
12968,121,9,1709484.16000,4,1,2,7,Potential
108914,4,10,1709529.97000,1,1,2,4,Need Attention
49268,46,13,1709629.35000,2,2,2,6,Need Attention
134837,80,9,1709700.95000,3,1,2,6,Need Attention
15440,86,11,1709707.14000,4,2,2,8,Potential
125794,89,14,1709742.54000,4,2,2,8,Potential
148576,81,14,1709831.92000,3,2,2,7,Potential
71435,2,14,1709885.73000,1,2,2,5,Need Attention
24863,121,13,1710010.20000,4,2,2,8,Potential
92200,80,14,1710024.66000,3,2,2,7,Potential
23701,60,13,1710063.32000,3,2,2,7,Potential
27440,65,13,1710081.49000,3,2,2,7,Potential
40559,97,12,1710275.82000,4,2,2,8,Potential
109874,168,10,1710405.38000,5,1,2,8,Potential
8693,129,12,1710449.70000,5,2,2,9,Potential
100999,89,15,1710454.63000,4,3,2,9,Potential
40228,93,14,1710471.21000,4,2,2,8,Potential
28358,50,11,1710575.56000,2,2,2,6,Need Attention
126080,112,11,1710665.27000,4,2,2,8,Potential
137024,11,9,1710672.63000,1,1,2,4,Need Attention
148787,47,11,1710777.41000,2,2,2,6,Need Attention
18038,123,13,1710809.86000,4,2,2,8,Potential
15599,1,12,1710859.96000,1,2,2,5,Need Attention
112043,68,12,1710889.08000,3,2,2,7,Potential
114035,74,12,1711121.13000,3,2,2,7,Potential
7451,13,10,1711134.33000,1,1,2,4,Need Attention
106112,80,15,1711174.85000,3,3,2,8,Potential
69665,113,9,1711194.33000,4,1,2,7,Potential
118298,27,10,1711197.93000,2,1,2,5,Need Attention
25988,16,12,1711321.54000,1,2,2,5,Need Attention
62582,44,10,1711462.32000,2,1,2,5,Need Attention
110381,94,11,1711476.84000,4,2,2,8,Potential
132719,113,14,1711558.01000,4,2,2,8,Potential
128636,11,12,1711623.39000,1,2,2,5,Need Attention
15776,151,10,1711703.62000,5,1,2,8,Potential
92528,53,10,1711708.35000,3,1,2,6,Need Attention
114455,67,12,1711715.16000,3,2,2,7,Potential
84316,63,14,1711730.32000,3,3,2,8,Potential
102533,152,13,1711744.93000,5,2,2,9,Potential
99896,57,11,1711892.21000,3,2,2,7,Potential
110300,42,12,1711909.20000,2,2,2,6,Need Attention
120607,161,13,1711943.23000,5,2,2,9,Potential
84073,92,15,1711946.36000,4,3,2,9,Potential
35888,33,12,1711994.57000,2,2,2,6,Need Attention
63830,178,11,1712040.06000,5,2,2,9,Potential
88541,132,12,1712041.74000,5,2,2,9,Potential
72734,2,13,1712094.28000,1,2,2,5,Need Attention
29384,95,10,1712155.20000,4,1,2,7,Potential
145505,36,11,1712179.92000,2,2,2,6,Need Attention
83839,50,14,1712215.92000,2,2,2,6,Need Attention
27470,38,11,1712313.39000,2,2,2,6,Need Attention
31391,72,12,1712319.97000,3,2,2,7,Potential
41566,50,16,1712349.59000,2,3,2,7,Potential
86219,136,17,1712389.64000,5,3,2,10,Potential
148235,31,9,1712390.13000,2,1,2,5,Need Attention
68141,49,10,1712446.09000,2,1,2,5,Need Attention
53426,45,10,1712598.16000,2,1,2,5,Need Attention
143438,23,9,1712619.26000,1,1,2,4,Need Attention
48191,97,13,1712652.71000,4,2,2,8,Potential
77110,45,16,1712679.73000,2,3,2,7,Potential
42086,30,10,1712735.37000,2,1,2,5,Need Attention
60446,76,11,1712779.40000,3,2,2,7,Potential
34129,75,13,1712798.90000,3,2,2,7,Potential
46448,14,13,1712814.62000,1,2,2,5,Need Attention
1313,42,10,1712834.54000,2,1,2,5,Need Attention
84454,114,9,1712908.07000,4,1,2,7,Potential
46900,52,15,1712990.59000,3,3,2,8,Potential
50741,131,12,1713093.71000,5,2,2,9,Potential
51466,46,15,1713141.11000,2,3,2,7,Potential
120398,153,10,1713158.95000,5,2,2,9,Potential
134513,72,12,1713182.75000,3,2,2,7,Potential
142178,32,11,1713209.76000,2,2,2,6,Need Attention
107474,22,10,1713216.63000,1,1,2,4,Need Attention
52607,49,11,1713232.23000,2,2,2,6,Need Attention
91439,123,10,1713243.70000,4,1,2,7,Potential
126983,132,11,1713258.94000,5,2,2,9,Potential
97091,173,9,1713309.25000,5,1,2,8,Potential
50630,155,10,1713439.72000,5,1,2,8,Potential
147737,159,11,1713501.35000,5,2,2,9,Potential
54788,83,11,1713606.36000,4,2,2,8,Potential
92000,63,9,1713654.98000,3,1,2,6,Need Attention
55409,141,13,1713672.59000,5,2,2,9,Potential
120116,60,9,1713710.93000,3,1,2,6,Need Attention
86405,24,11,1713776.08000,2,2,2,6,Need Attention
133235,15,10,1713806.54000,1,1,2,4,Need Attention
21227,103,10,1713849.13000,4,1,2,7,Potential
63940,58,13,1713919.64000,3,2,2,7,Potential
49694,147,9,1713965.44000,5,1,2,8,Potential
137279,56,11,1713966.37000,3,2,2,7,Potential
10055,4,15,1714027.45000,1,3,2,6,Need Attention
35012,7,12,1714028.95000,1,2,2,5,Need Attention
58903,31,15,1714069.53000,2,3,2,7,Potential
40298,17,12,1714087.86000,1,2,2,5,Need Attention
38642,19,13,1714150.45000,1,2,2,5,Need Attention
132416,93,13,1714203.31000,4,2,2,8,Potential
88193,24,9,1714212.75000,2,1,2,5,Need Attention
14006,154,11,1714250.58000,5,2,2,9,Potential
55862,53,9,1714252.33000,3,1,2,6,Need Attention
60578,13,13,1714308.63000,1,2,2,5,Need Attention
51790,64,11,1714317.94000,3,2,2,7,Potential
67730,64,12,1714453.26000,3,2,2,7,Potential
25352,152,12,1714478.18000,5,2,2,9,Potential
147383,16,11,1714604.80000,1,2,2,5,Need Attention
22468,21,13,1714694.33000,1,2,2,5,Need Attention
36698,166,12,1714712.01000,5,2,2,9,Potential
39377,169,12,1714765.06000,5,2,2,9,Potential
10085,84,12,1714847.69000,4,2,2,8,Potential
103771,152,12,1714866.82000,5,2,2,9,Potential
50639,45,13,1714893.16000,2,2,2,6,Need Attention
68837,98,11,1714976.72000,4,2,2,8,Potential
129452,54,8,1715047.71000,3,1,2,6,Need Attention
149632,122,12,1715086.41000,4,2,2,8,Potential
61652,115,11,1715091.29000,4,2,2,8,Potential
45452,120,10,1715147.10000,4,1,2,7,Potential
85394,100,10,1715194.66000,4,1,2,7,Potential
95341,141,12,1715258.03000,5,2,2,9,Potential
8303,166,9,1715297.80000,5,1,2,8,Potential
145820,144,10,1715298.27000,5,1,2,8,Potential
56942,32,13,1715380.78000,2,2,2,6,Need Attention
54938,118,9,1715700.79000,4,1,2,7,Potential
719,62,10,1715711.66000,3,1,2,6,Need Attention
59444,67,9,1715742.34000,3,1,2,6,Need Attention
112157,22,13,1715766.40000,1,2,2,5,Need Attention
41375,27,13,1715781.54000,2,2,2,6,Need Attention
128789,13,14,1715787.59000,1,2,2,5,Need Attention
136559,21,12,1715802.24000,1,2,2,5,Need Attention
88529,118,12,1715852.55000,4,2,2,8,Potential
113780,69,13,1715873.46000,3,2,2,7,Potential
87839,50,10,1715874.87000,2,1,2,5,Need Attention
35048,43,13,1715886.32000,2,2,2,6,Need Attention
86732,145,12,1715957.07000,5,2,2,9,Potential
120317,54,12,1715971.63000,3,2,2,7,Potential
11878,139,14,1715999.99000,5,2,2,9,Potential
20723,133,11,1716001.61000,5,2,2,9,Potential
149978,44,11,1716069.79000,2,2,2,6,Need Attention
67871,36,12,1716146.59000,2,2,2,6,Need Attention
95378,137,10,1716368.27000,5,2,2,9,Potential
43937,106,10,1716384.47000,4,1,2,7,Potential
69644,99,9,1716471.94000,4,1,2,7,Potential
108593,14,11,1716488.23000,1,2,2,5,Need Attention
126386,64,12,1716520.70000,3,2,2,7,Potential
26165,10,10,1716670.87000,1,1,2,4,Need Attention
11141,9,11,1716731.48000,1,2,2,5,Need Attention
71923,53,16,1716739.20000,3,3,2,8,Potential
123355,97,13,1716846.43000,4,2,2,8,Potential
25682,59,11,1716860.88000,3,2,2,7,Potential
59498,157,10,1716869.54000,5,2,2,9,Potential
139592,119,10,1716928.89000,4,1,2,7,Potential
10757,9,10,1716959.37000,1,1,2,4,Need Attention
102893,178,11,1716981.71000,5,2,2,9,Potential
41708,93,13,1717017.06000,4,2,2,8,Potential
131284,47,11,1717018.02000,2,2,2,6,Need Attention
84098,32,12,1717033.38000,2,2,2,6,Need Attention
7192,112,13,1717075.51000,4,2,2,8,Potential
82835,156,11,1717081.50000,5,2,2,9,Potential
140867,37,10,1717112.12000,2,1,2,5,Need Attention
138926,75,10,1717125.01000,3,2,2,7,Potential
39086,87,11,1717284.50000,4,2,2,8,Potential
1931,54,13,1717304.70000,3,2,2,7,Potential
33182,11,12,1717361.86000,1,2,2,5,Need Attention
60545,98,14,1717379.97000,4,3,2,9,Potential
66704,143,9,1717411.97000,5,1,2,8,Potential
10225,89,11,1717482.49000,4,2,2,8,Potential
32672,113,11,1717553.66000,4,2,2,8,Potential
82351,117,19,1717595.81000,4,4,2,10,Potential
7021,39,12,1717620.01000,2,2,2,6,Need Attention
104264,21,12,1717628.65000,1,2,2,5,Need Attention
79820,129,12,1717676.37000,5,2,2,9,Potential
50600,179,12,1717714.73000,5,2,2,9,Potential
97973,105,9,1717727.95000,4,1,2,7,Potential
16619,129,12,1717732.34000,5,2,2,9,Potential
9095,66,10,1717815.61000,3,2,2,7,Potential
124460,12,11,1717880.45000,1,2,2,5,Need Attention
12548,31,9,1717930.60000,2,1,2,5,Need Attention
100922,120,10,1717937.77000,4,1,2,7,Potential
18221,5,11,1718020.58000,1,2,2,5,Need Attention
41033,67,12,1718030.82000,3,2,2,7,Potential
138578,18,11,1718031.02000,1,2,2,5,Need Attention
121583,42,12,1718090.53000,2,2,2,6,Need Attention
130631,53,15,1718128.01000,3,3,2,8,Potential
112226,46,10,1718209.89000,2,1,2,5,Need Attention
119879,172,9,1718210.45000,5,1,2,8,Potential
13436,137,13,1718258.65000,5,2,2,9,Potential
28982,122,11,1718261.00000,4,2,2,8,Potential
148250,30,12,1718360.75000,2,2,2,6,Need Attention
59258,143,12,1718409.76000,5,2,2,9,Potential
99524,98,13,1718508.88000,4,2,2,8,Potential
656,38,11,1718548.91000,2,2,2,6,Need Attention
979,131,13,1718568.30000,5,2,2,9,Potential
102296,40,11,1718599.35000,2,2,2,6,Need Attention
102032,43,12,1718653.28000,2,2,2,6,Need Attention
61522,63,14,1718704.63000,3,2,2,7,Potential
19492,4,18,1718742.95000,1,3,2,6,Need Attention
22664,3,11,1718824.85000,1,2,2,5,Need Attention
133385,12,13,1718825.09000,1,2,2,5,Need Attention
6227,94,9,1718832.95000,4,1,2,7,Potential
77276,43,13,1718856.07000,2,2,2,6,Need Attention
28046,47,11,1718890.70000,2,2,2,6,Need Attention
148487,97,13,1718899.85000,4,2,2,8,Potential
65860,27,14,1718900.26000,2,2,2,6,Need Attention
82508,90,11,1718913.30000,4,2,2,8,Potential
94520,2,12,1718936.68000,1,2,2,5,Need Attention
88796,20,11,1718949.85000,1,2,2,5,Need Attention
135109,94,13,1718950.87000,4,2,2,8,Potential
141707,166,11,1718953.87000,5,2,2,9,Potential
136067,36,14,1718975.16000,2,2,2,6,Need Attention
16055,144,11,1719036.47000,5,2,2,9,Potential
43880,123,11,1719116.59000,4,2,2,8,Potential
107380,62,12,1719121.12000,3,2,2,7,Potential
14039,63,12,1719195.47000,3,2,2,7,Potential
36017,77,11,1719206.65000,3,2,2,7,Potential
48208,154,15,1719232.53000,5,3,2,10,Potential
147194,143,14,1719240.35000,5,2,2,9,Potential
54362,117,9,1719276.09000,4,1,2,7,Potential
142712,159,11,1719290.24000,5,2,2,9,Potential
93194,177,10,1719338.94000,5,2,2,9,Potential
72059,157,9,1719363.69000,5,1,2,8,Potential
45890,1,12,1719398.54000,1,2,2,5,Need Attention
141308,27,14,1719578.05000,2,2,2,6,Need Attention
79253,103,12,1719589.96000,4,2,2,8,Potential
33338,48,12,1719647.51000,2,2,2,6,Need Attention
59125,17,14,1719687.12000,1,2,2,5,Need Attention
33998,46,10,1719711.45000,2,1,2,5,Need Attention
80653,89,11,1719726.85000,4,2,2,8,Potential
11723,76,12,1719775.05000,3,2,2,7,Potential
89525,55,12,1719783.17000,3,2,2,7,Potential
137045,56,15,1719836.50000,3,3,2,8,Potential
115087,77,9,1719846.13000,3,1,2,6,Need Attention
58621,24,15,1719869.32000,2,3,2,7,Potential
62603,55,13,1720001.25000,3,2,2,7,Potential
63205,33,10,1720172.46000,2,1,2,5,Need Attention
11318,152,10,1720189.73000,5,1,2,8,Potential
12227,176,10,1720203.53000,5,1,2,8,Potential
134921,82,12,1720236.21000,3,2,2,7,Potential
99121,139,13,1720280.94000,5,2,2,9,Potential
30530,95,13,1720288.51000,4,2,2,8,Potential
12794,127,10,1720319.36000,5,1,2,8,Potential
44731,19,11,1720340.01000,1,2,2,5,Need Attention
91838,22,11,1720417.17000,1,2,2,5,Need Attention
32408,57,11,1720476.61000,3,2,2,7,Potential
129514,82,15,1720630.94000,3,3,2,8,Potential
92942,72,12,1720737.07000,3,2,2,7,Potential
121856,62,13,1720776.01000,3,2,2,7,Potential
70586,121,10,1720778.12000,4,1,2,7,Potential
434,1,12,1720786.81000,1,2,2,5,Need Attention
145192,21,13,1720820.93000,1,2,2,5,Need Attention
11360,36,14,1720840.64000,2,2,2,6,Need Attention
34621,89,13,1720865.94000,4,2,2,8,Potential
92513,138,9,1720879.29000,5,1,2,8,Potential
22568,4,12,1720894.23000,1,2,2,5,Need Attention
86345,44,10,1720900.12000,2,1,2,5,Need Attention
145157,164,11,1720901.39000,5,2,2,9,Potential
57304,119,14,1720917.06000,4,2,2,8,Potential
134507,144,13,1720923.67000,5,2,2,9,Potential
88520,74,12,1720956.54000,3,2,2,7,Potential
36752,24,10,1720988.67000,2,1,2,5,Need Attention
45770,110,12,1721022.66000,4,2,2,8,Potential
19886,100,10,1721039.98000,4,1,2,7,Potential
52556,37,14,1721065.36000,2,2,2,6,Need Attention
134846,27,11,1721148.52000,2,2,2,6,Need Attention
117824,21,11,1721234.41000,1,2,2,5,Need Attention
67322,55,12,1721324.94000,3,2,2,7,Potential
57467,12,10,1721403.54000,1,1,2,4,Need Attention
35984,55,13,1721452.73000,3,2,2,7,Potential
66407,47,13,1721470.83000,2,2,2,6,Need Attention
143189,80,13,1721471.43000,3,2,2,7,Potential
77081,1,10,1721530.61000,1,1,2,4,Need Attention
21422,142,10,1721543.70000,5,1,2,8,Potential
11978,129,15,1721691.94000,5,3,2,10,Potential
94703,136,11,1721713.22000,5,2,2,9,Potential
72212,9,13,1721770.82000,1,2,2,5,Need Attention
73814,92,15,1721877.12000,4,3,2,9,Potential
67159,161,12,1721939.15000,5,2,2,9,Potential
127685,34,9,1721940.79000,2,1,2,5,Need Attention
302,46,10,1721997.68000,2,1,2,5,Need Attention
64616,32,11,1722015.36000,2,2,2,6,Need Attention
31589,4,12,1722037.83000,1,2,2,5,Need Attention
144326,144,12,1722237.35000,5,2,2,9,Potential
64625,61,10,1722237.45000,3,1,2,6,Need Attention
26774,49,11,1722281.50000,2,2,2,6,Need Attention
8972,145,13,1722289.96000,5,2,2,9,Potential
144871,129,12,1722417.81000,5,2,2,9,Potential
112838,179,14,1722456.24000,5,2,2,9,Potential
125771,32,11,1722478.40000,2,2,2,6,Need Attention
127253,17,11,1722497.81000,1,2,2,5,Need Attention
133924,109,13,1722578.66000,4,2,2,8,Potential
54479,180,13,1722612.51000,5,2,2,9,Potential
31954,112,15,1722635.78000,4,3,2,9,Potential
119939,86,14,1722660.80000,4,2,2,8,Potential
30452,37,10,1722672.75000,2,1,2,5,Need Attention
146045,32,8,1722679.12000,2,1,2,5,Need Attention
116831,33,13,1722693.60000,2,2,2,6,Need Attention
91586,14,11,1722751.24000,1,2,2,5,Need Attention
35546,119,9,1722892.26000,4,1,2,7,Potential
92324,81,11,1723000.92000,3,2,2,7,Potential
81244,54,13,1723012.91000,3,2,2,7,Potential
14264,64,13,1723065.06000,3,2,2,7,Potential
126794,103,13,1723075.12000,4,2,2,8,Potential
121117,25,12,1723158.07000,2,2,2,6,Need Attention
110654,107,11,1723183.94000,4,2,2,8,Potential
19022,152,8,1723184.39000,5,1,2,8,Potential
27845,132,14,1723193.57000,5,2,2,9,Potential
119123,55,12,1723203.12000,3,2,2,7,Potential
32228,56,14,1723213.74000,3,2,2,7,Potential
40880,53,14,1723232.76000,3,2,2,7,Potential
82919,170,10,1723299.50000,5,1,2,8,Potential
59620,135,10,1723324.21000,5,1,2,8,Potential
106430,33,14,1723364.27000,2,2,2,6,Need Attention
39143,96,10,1723448.17000,4,1,2,7,Potential
103811,170,12,1723453.47000,5,2,2,9,Potential
8468,150,11,1723501.23000,5,2,2,9,Potential
67049,48,12,1723519.73000,2,2,2,6,Need Attention
67516,95,15,1723533.26000,4,3,2,9,Potential
94178,97,9,1723584.38000,4,1,2,7,Potential
58685,48,12,1723694.84000,2,2,2,6,Need Attention
69164,37,15,1723724.88000,2,3,2,7,Potential
148343,52,12,1723744.34000,3,2,2,7,Potential
22282,91,14,1723787.84000,4,2,2,8,Potential
87941,12,12,1723790.18000,1,2,2,5,Need Attention
33662,92,13,1723809.34000,4,2,2,8,Potential
135580,109,13,1723926.37000,4,2,2,8,Potential
126014,65,13,1723928.41000,3,2,2,7,Potential
145724,127,11,1723931.98000,5,2,2,9,Potential
124912,86,13,1723951.23000,4,2,2,8,Potential
16340,83,11,1723984.32000,4,2,2,8,Potential
127334,117,12,1723993.05000,4,2,2,8,Potential
28916,73,10,1724003.44000,3,1,2,6,Need Attention
19001,115,12,1724032.37000,4,2,2,8,Potential
50216,164,13,1724067.34000,5,2,2,9,Potential
125150,139,13,1724134.96000,5,2,2,9,Potential
24739,86,12,1724159.94000,4,2,2,8,Potential
92935,40,13,1724263.26000,2,2,2,6,Need Attention
55462,56,12,1724271.86000,3,2,2,7,Potential
57695,78,9,1724384.65000,3,1,2,6,Need Attention
53972,142,10,1724395.35000,5,1,2,8,Potential
3662,31,12,1724417.94000,2,2,2,6,Need Attention
97748,98,12,1724455.30000,4,2,2,8,Potential
102589,83,14,1724459.17000,4,2,2,8,Potential
91487,53,13,1724487.52000,3,2,2,7,Potential
48818,83,11,1724529.50000,3,2,2,7,Potential
57098,33,11,1724596.31000,2,2,2,6,Need Attention
105296,62,9,1724629.59000,3,1,2,6,Need Attention
63527,30,11,1724629.78000,2,2,2,6,Need Attention
20534,14,11,1724647.08000,1,2,2,5,Need Attention
35843,51,13,1724652.70000,3,2,2,7,Potential
59792,66,10,1724679.54000,3,1,2,6,Need Attention
65216,10,13,1724692.98000,1,2,2,5,Need Attention
133055,131,10,1724700.01000,5,1,2,8,Potential
65060,41,14,1724776.16000,2,2,2,6,Need Attention
51230,18,11,1724816.98000,1,2,2,5,Need Attention
33398,155,14,1724826.05000,5,2,2,9,Potential
40508,70,12,1724835.47000,3,2,2,7,Potential
34460,84,11,1724969.70000,4,2,2,8,Potential
49751,44,14,1725025.64000,2,2,2,6,Need Attention
64490,14,9,1725027.30000,1,1,2,4,Need Attention
42506,109,12,1725091.48000,4,2,2,8,Potential
99887,18,14,1725093.72000,1,2,2,5,Need Attention
62348,24,11,1725114.33000,2,2,2,6,Need Attention
42023,112,12,1725119.40000,4,2,2,8,Potential
56603,147,10,1725191.60000,5,1,2,8,Potential
82289,24,10,1725292.09000,2,1,2,5,Need Attention
1085,155,13,1725404.17000,5,2,2,9,Potential
138719,54,11,1725444.91000,3,2,2,7,Potential
6605,12,11,1725542.98000,1,2,2,5,Need Attention
124082,63,9,1725563.72000,3,1,2,6,Need Attention
133928,135,11,1725598.08000,5,2,2,9,Potential
91687,173,17,1725599.49000,5,3,2,10,Potential
90067,11,15,1725691.85000,1,3,2,6,Need Attention
23063,113,13,1725747.77000,4,2,2,8,Potential
28166,139,10,1725767.85000,5,1,2,8,Potential
34183,91,10,1725982.89000,4,1,2,7,Potential
16726,49,17,1726027.82000,2,3,2,7,Potential
31975,48,11,1726057.19000,2,2,2,6,Need Attention
129713,57,11,1726083.49000,3,2,2,7,Potential
125936,110,11,1726155.30000,4,2,2,8,Potential
44357,66,10,1726218.49000,3,2,2,7,Potential
147974,25,12,1726224.37000,2,2,2,6,Need Attention
78215,95,13,1726228.43000,4,2,2,8,Potential
105482,179,12,1726276.63000,5,2,2,9,Potential
95900,108,10,1726342.56000,4,1,2,7,Potential
99782,63,12,1726351.96000,3,2,2,7,Potential
97192,52,15,1726377.28000,3,3,2,8,Potential
94070,153,12,1726411.32000,5,2,2,9,Potential
29545,4,12,1726472.93000,1,2,2,5,Need Attention
101930,177,8,1726483.29000,5,1,2,8,Potential
118925,179,12,1726488.27000,5,2,2,9,Potential
87473,175,10,1726507.12000,5,1,2,8,Potential
105728,71,10,1726607.17000,3,1,2,6,Need Attention
96026,124,9,1726706.15000,4,1,2,7,Potential
34274,21,13,1726889.48000,1,2,2,5,Need Attention
123959,54,12,1726958.47000,3,2,2,7,Potential
148508,20,11,1727016.40000,1,2,2,5,Need Attention
110018,151,13,1727046.33000,5,2,2,9,Potential
140345,64,13,1727099.84000,3,2,2,7,Potential
63350,63,10,1727140.35000,3,1,2,6,Need Attention
63544,4,15,1727156.62000,1,3,2,6,Need Attention
56455,170,13,1727224.38000,5,2,2,9,Potential
17735,41,14,1727227.11000,2,2,2,6,Need Attention
68219,122,13,1727252.90000,4,2,2,8,Potential
130996,133,13,1727276.63000,5,2,2,9,Potential
16076,64,8,1727417.06000,3,1,2,6,Need Attention
43196,134,11,1727464.39000,5,2,2,9,Potential
140339,4,12,1727491.62000,1,2,2,5,Need Attention
134864,44,15,1727661.83000,2,3,2,7,Potential
6644,64,14,1727665.99000,3,3,2,8,Potential
117065,72,11,1727685.91000,3,2,2,7,Potential
42569,51,10,1727698.94000,3,1,2,6,Need Attention
89123,16,11,1727700.76000,1,2,2,5,Need Attention
95774,116,9,1727740.81000,4,1,2,7,Potential
46190,125,13,1727766.57000,5,2,2,9,Potential
74374,32,12,1727785.15000,2,2,2,6,Need Attention
123965,114,10,1727820.56000,4,1,2,7,Potential
65726,177,14,1727834.13000,5,2,2,9,Potential
72208,60,15,1728054.34000,3,3,2,8,Potential
18449,148,9,1728072.69000,5,1,2,8,Potential
123791,15,10,1728104.53000,1,1,2,4,Need Attention
145967,59,11,1728255.65000,3,2,2,7,Potential
22880,127,10,1728318.78000,5,1,2,8,Potential
617,75,9,1728351.30000,3,1,2,6,Need Attention
142433,169,11,1728371.66000,5,2,2,9,Potential
147857,53,11,1728413.65000,3,2,2,7,Potential
50543,37,10,1728560.70000,2,1,2,5,Need Attention
127415,91,10,1728572.93000,4,1,2,7,Potential
81311,60,10,1728588.95000,3,1,2,6,Need Attention
16667,7,10,1728611.62000,1,2,2,5,Need Attention
48329,72,12,1728629.72000,3,2,2,7,Potential
3751,143,13,1728629.73000,5,2,2,9,Potential
5822,79,12,1728666.54000,3,2,2,7,Potential
133775,42,10,1728680.35000,2,1,2,5,Need Attention
60329,158,9,1728798.80000,5,1,2,8,Potential
41066,143,13,1728810.91000,5,2,2,9,Potential
60428,35,10,1728836.08000,2,1,2,5,Need Attention
76097,75,13,1728881.18000,3,2,2,7,Potential
126671,23,9,1728943.14000,1,1,2,4,Need Attention
14882,72,12,1728960.01000,3,2,2,7,Potential
50788,153,13,1729023.01000,5,2,2,9,Potential
52526,28,10,1729164.38000,2,2,2,6,Need Attention
24376,29,13,1729292.55000,2,2,2,6,Need Attention
65021,23,15,1729335.69000,1,3,2,6,Need Attention
95357,63,11,1729342.26000,3,2,2,7,Potential
93838,32,15,1729368.09000,2,3,2,7,Potential
26546,73,13,1729381.44000,3,2,2,7,Potential
70169,20,13,1729399.79000,1,2,2,5,Need Attention
97070,148,12,1729410.06000,5,2,2,9,Potential
36679,22,12,1729421.47000,1,2,2,5,Need Attention
105602,179,13,1729460.64000,5,2,2,9,Potential
77468,89,11,1729501.87000,4,2,2,8,Potential
81188,48,10,1729567.26000,2,1,2,5,Need Attention
82673,35,12,1729612.88000,2,2,2,6,Need Attention
115142,1,13,1729618.31000,1,2,2,5,Need Attention
54305,141,11,1729683.40000,5,2,2,9,Potential
90788,114,13,1729705.75000,4,2,2,8,Potential
124628,94,10,1729831.58000,4,1,2,7,Potential
124343,58,11,1729905.09000,3,2,2,7,Potential
54251,139,14,1729911.68000,5,2,2,9,Potential
141995,89,12,1729924.46000,4,2,2,8,Potential
132014,128,12,1730010.07000,5,2,2,9,Potential
3563,25,11,1730011.64000,2,2,2,6,Need Attention
32402,141,10,1730025.22000,5,1,2,8,Potential
70079,41,14,1730028.18000,2,2,2,6,Need Attention
105986,25,14,1730176.11000,2,2,2,6,Need Attention
60902,123,11,1730191.57000,4,2,2,8,Potential
22868,116,13,1730278.55000,4,2,2,8,Potential
59272,14,11,1730299.30000,1,2,2,5,Need Attention
80083,33,10,1730455.00000,2,1,2,5,Need Attention
5813,14,13,1730469.16000,1,2,2,5,Need Attention
127730,4,11,1730485.45000,1,2,2,5,Need Attention
95708,86,13,1730522.96000,4,2,2,8,Potential
120794,165,11,1730581.30000,5,2,2,9,Potential
51017,91,11,1730611.03000,4,2,2,8,Potential
71821,121,14,1730638.76000,4,2,2,8,Potential
80104,42,15,1730656.84000,2,3,2,7,Potential
140924,113,15,1730670.88000,4,3,2,9,Potential
113387,119,15,1730679.16000,4,3,2,9,Potential
108470,35,10,1730709.30000,2,1,2,5,Need Attention
84895,76,15,1730751.89000,3,3,2,8,Potential
116659,87,11,1730756.79000,4,2,2,8,Potential
42692,38,11,1730831.57000,2,2,2,6,Need Attention
46636,130,16,1730831.88000,5,3,2,10,Potential
81751,31,13,1730878.44000,2,2,2,6,Need Attention
